time,peak,duration,energy,sharpness,label
0.187,24,0.0,0.4258,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4194,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4258,1.0306,noise
0.187,24,0.0,0.4258,1.0306,noise
0.187,24,0.0,0.4187,1.0306,noise
0.187,24,0.0,0.4187,1.0306,noise
0.187,24,0.0,0.4208,1.0306,noise
0.187,24,0.0,0.4208,1.0306,noise
0.187,24,0.0,0.4208,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.187,24,0.0,0.4208,1.0306,noise
0.187,24,0.0,0.4208,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.187,24,0.0,0.4208,1.0306,noise
0.187,24,0.0,0.4208,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.187,24,0.0,0.425,1.0306,noise
0.187,24,0.0,0.425,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.187,24,0.0,0.4229,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.4258,1.0306,noise
0.202,24,0.0,0.4258,1.0306,noise
0.202,24,0.0,0.4237,1.0306,noise
0.202,24,0.0,0.4237,1.0306,noise
0.202,24,0.0,0.4258,1.0306,noise
0.202,24,0.0,0.4258,1.0306,noise
0.202,24,0.0,0.4237,1.0306,noise
0.202,24,0.0,0.4237,1.0306,noise
0.202,24,0.0,0.4258,1.0306,noise
0.202,24,0.0,0.4258,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.4322,1.0306,noise
0.202,24,0.0,0.4322,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.4279,1.0306,noise
0.202,24,0.0,0.43,1.0306,noise
0.202,24,0.0,0.4322,1.0306,noise
0.202,24,0.0,0.4343,1.0306,noise
0.202,24,0.0,0.4322,1.0306,noise
0.202,24,0.0,0.4322,1.0306,noise
0.202,24,0.0,0.4343,1.0306,noise
0.202,24,0.0,0.4364,1.0306,noise
0.202,24,0.0,0.4364,1.0306,noise
0.202,24,0.0,0.4364,1.0306,noise
0.202,24,0.0,0.4343,1.0306,noise
0.202,24,0.0,0.4343,1.0306,noise
0.202,24,0.0,0.4364,1.0306,noise
0.202,24,0.0,0.4364,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4314,1.0306,noise
0.218,24,0.0,0.4293,1.0306,noise
0.218,24,0.0,0.4272,1.0306,noise
0.218,24,0.0,0.4322,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
